TITLE,AUTHORS,VENUE,BIBTEX,YEAR,PROJECTS_EXACT,PROJECT_CATEGORIES,NODES_EXACT,NODES_CATEGORIES,DATASOURCES,CITATIONS,CATEGORY,SUBCATEGORY
Heterogeneous Network Analysis of Developer Contribution in Bug Repositories,Wen Zhang;Song Wang;Ye Yang;Qing Wang,CSC,zhang2013heterogeneous,2013,2,2-5,"90,000",10001-100000,ITS,15,Prediction,Bug Triage
Hierarchy and centralization in free and open source software team communications,Kevin Crowston;James Howison,"Knowledge, Technology & Policy",crowston2006hierarchy,2006,174,>100,188,101-1000,ITS,200,Community Structure,General
How developer communication frequency relates to bug introducing changes,Roberto Abreu;Rahul Premraj,IWPSE-EVOL,abreu2009developer,2009,1,1,18,11-100,ITS,62,Prediction,Defect Prediction
How Developers’ Collaborations Identified from Different Sources Tell us About Code Changes,Sebastiano Panichella;Gabriele Bavota;Massimiliano Di Penta;Gerardo Canfora;Giuliano Antoniol,ICSM(E),panichella2014developers,2014,7,6-10,40-95,11-100,ML;ITS;VCS;Other,30,DSN Validity,DSN Validity
How does developer interaction relate to software quality? an examination of product development data,Subhajit Datta,EMSE,datta2018does,2018,1,1,900,101-1000,ITS;VCS,4,Community Structure,Impact on Code Quality
How the evolution of emerging collaborations relates to code changes: an empirical study,Sebastiano Panichella;Gerardo Canfora;Massimiliano Di Penta;Rocco Oliveto,ICPC,panichella2014evolution,2014,4,2-5,20647.75,10001-100000,ML;ITS;VCS,23,Community Structure,Team Formation
Identification of Coordination Requirements: Implications for the Design of Collaboration and Awareness Tools,Marcelo Cataldo;Patrick A. Wagstrom;James D. Herbsleb;Kathleen M. Carley,CSCW,cataldo2006identification,2006,1,1,114,101-1000,ITS,465,Collaboration Behavior,Problems
Identifying failure inducing developer pairs within developer networks,Jordan Ell,ICSE,ell2013identifying,2013,1,1,Missing,Missing,VCS,13,Collaboration Behavior,Problems
Identifying knowledge brokers that yield software engineering knowledge in OSS projects,Sulayman K. Sowe;Ioannis Stamelos;Lefteris Angelis,Information and Software Technology,sowe2006identifying,2005,3,2-5,9557,1001-10000,ML,96,Developer Roles,Identification
Impact of Social Ties on Open Source Project Team Formation,Jungpil Hahn;Jae Y. Moon;Chen Zhang,OSS,hahn2006impact,2006,1030,>100,Missing,Missing,Forge,21,Community Structure,Team Formation
Impact of Stakeholder Type and Collaboration on Issue Resolution Time in OSS Projects,Anh Nguyen Duc;Daniela S. Cruzes;Claudia Ayala;Reidar Conradi,OSS,duc2011impact,2011,3,2-5,699,101-1000,ITS,21,Collaboration Behavior,General
Improving Bug Triage with Bug Tossing Graphs,Gaeul Jeong;Sunghun Kim;Thomas Zimmermann,FSE,jeong2009improving,2009,2,2-5,"> 1200, >2400 => >1800",1001-10000,ITS,434,Prediction,Bug Triage
Improving developer activity metrics with issue tracking annotations,Andrew Meneely;Mackenzie Corcoran;Laurie Williams,WETSOM,meneely2010improving,2010,1,1,87,11-100,ITS;VCS,25,Developer Roles,Identification
Individual Centrality and Performance in Virtual R&D Groups: An Empirical Study,Manju K. Ahuja;Dennis F. Galletta;Kathleen M. Carley,Management Science,ahuja2003individual,2003,1,1,59,11-100,ML,665,Community Structure,Global SWE
Information brokers in requirement-dependency social networks,Sabrina Marczak;Daniela Damian;Ulrike Stege;Adrian Schröter,RE,marczak2008information,2008,1,1,14,11-100,Survey;Other,55,Developer Roles,Identification
Intragroup Density Predicting Intergroup Tie Strength Within Open-Source-Software Collaboration Network,Stefan K. Behfar;Qumars Behfar,Distributed Computing and Artificial Intelligence,behfar2016intragroup,2016,Missing,Missing,10000,1001-10000,Forge,4,Community Structure,General
Knowledge Flows Within Open Source Software Projects: A Social Network Perspective,Noureddine Kerzazi;Ikram El Asri,Advances in Ubiquitous Networking ,kerzazi2017knowledge,2017,3,2-5,989,101-1000,Forge,5,Collaboration Behavior,General
Knowledge Homogeneity and Specialization in the Apache HTTP Server Project,Alexander C. MacLean;Landon J. Pratt;Charles D. Knutson;Eric K. Ringger,AICT,maclean2011knowledge,2011,1,1,134,101-1000,ML;ITS,7,Developer Roles,Specialization
Knowledge management in OSS communities: Relationship between dense and sparse network structures,Stefan Kambiz Behfar;Ekaterina Turkina;Thierry Burger-Helmchen,International Journal of Information Management,behfar2018knowledge,2018,Missing,Missing,10000,1001-10000,Forge,7,Community Structure,General
Latent social structure in open source projects,Christian Bird;David Pattison;Raissa D'Souza;Vladimir Filkov;Premkumar Devanbu,FSE,bird2008latent,2008,5,2-5,48,11-100,ML,301,Community Structure,General
Lessons learned from applying social network analysis on an industrial Free/Libre/Open Source Software ecosystem,Jose Teixeira;Gregorio Robles;Jesus M. Gonzales-Barahona,Journal of Internet Services and Applications,teixeira2015lessons,2015,8,6-10,Missing,Missing,VCS,39,Collaboration Behavior,Intercompany collaboration behavior
Leveraging expertise in global software teams: Going outside boundaries,Kate Ehrlich;Klarissa T. Chang,ICGSE,ehrlich2006leveraging,2006,3,2-5,42,11-100,Survey,91,Community Structure,Global SWE
Measuring and Understanding the Effectiveness of JIRA Developers Communities,Marco Ortu;Giuseppe Destefanis;Mohamad Kassab;Michele Marchesi,OSS,ortu2015measuring,2015,7,6-10,922,101-1000,ITS,29,Collaboration Behavior,General
Measuring Coordination Gaps of Open Source Groups through Social Networks.,Szabolcs Feczak;Liaquat Hossain,ICEIS,feczak2009measuring,2009,415,>100,Missing,Missing,ITS,7,Collaboration Behavior,General
Measuring OSS quality trough centrality,Liaquat Hossain;David Zhou,CHASE,hossain2008measuring,2008,45,11-100,Missing,Missing,ITS,5,Community Structure,Impact on Code Quality
Measuring the Effect of Social Communications on Individual Working Rhythms: A Case Study of Open Source Software,Qi Xuan;Mohammad Gharehyazie;Premkumar Devanbu;Vladimir Filkov,Social Informatics,xuan2012measuring,2012,31,11-100,665,101-1000,ML;VCS,25,Collaboration Behavior,General
Method for Identification of Suitable Persons in Collaborators’ Networks,Pavla Drazdilova;Alisa Babskova;Jan Martinovic;Katerina Slaninova;Stepan Minks,CISIM,dravzdilova2012method,2012,21184,>100,"96,251",10001-100000,Forge,3,Prediction,Developers for Tasks in General
Mining and visualizing developer networks from version control systems,Andrejs Jermakovics;Alberto Sillitti;Giancarlo Succi,CHASE,jermakovics2011mining,2011,2,2-5,36,11-100,VCS,57,Community Structure,General
Mining Collaboration Patterns from a Large Developer Network,Didi Surian;David Lo;Ee-Peng Lim,WCRE,surian2010mining,2010,28087,>100,55694,10001-100000,Forge,54,Community Structure,General
Mining CVS Repositories to Understand Open-Source Project Developer Roles,Liguo Yu;Srini Ramaswamy,MSR,yu2007mining,2007,2,2-5,35,11-100,VCS,59,Developer Roles,Identification
Mining Developer Mailing List to Predict Software Defects,Yu Zhang;Beijun Shen;Yuting Chen,APSEC,zhang2014mining,2014,3,2-5,Missing,Missing,ML,4,Prediction,Defect Prediction
Mining email social networks,Christian Bird;Alex Gourley;Premkumar Devanbu;Michael Gertz;Anand Swaminathan,MSR,bird2006mining,2006,1,1,"1,196",1001-10000,ML,644,Community Structure,General
Mining email social networks in Postgres,Christian Bird;Alex Gourley;Premkumar Devanbu;Michael Gertz;Anand Swaminathan,MSR,bird2006mining1,2006,1,1,3293,1001-10000,ML,0,Community Structure,General
Mining Task-Based Social Networks to Explore Collaboration in Software Teams,Timo Wolf;Adrian Schröter;Daniela Damian;Lucas D. Panjer;Thanh H.D. Nguyen,IEEE Software,wolf2009mining,2009,1,1,Missing,Missing,ITS,104,Community Structure,General
Mining version histories to verify the learning process of Legitimate Peripheral Participants,Shih-Kun Huang;Kang-min Liu,MSR,huang2005mining,2005,6,6-10,17,11-100,VCS,57,Developer Roles,Identification
Network analysis of OSS evolution: an empirical study on ArgoUML project,Wen Zhang;Ye Yang;Qing Wang,IWPSE-EVOL,zhang2011network,2011,1,1,978,101-1000,ML;VCS,16,Community Structure,DSN Evolution
Network analysis of software repositories: identifying subject matter experts,Andrew Dittrich;Mehmet Hadi Gunes;Sergiu Dascalu,Complex Networks,dittrich2013network,2013,3,2-5,127,101-1000,VCS,12,Developer Roles,Identification
Network Analysis of the SourceForge.net Community,Yongqin Gao;Gregory Madey,OSS,gao2007network,2007,Missing,Missing,123698,>100000,Forge,35,Community Structure,General
Network Structure of Social Coding in GitHub,Ferdian Thung;Tegawende F. Bissyande;David Lo;Lingxiao Jiang,CSMR,thung2013network,2013,"100,000",>100,"30,000",10001-100000,Forge,161,Community Structure,General
On the Use of Issue Tracking Annotations for Improving Developer Activity Metrics,Andrew Meneely;Laurie Williams,Advances in Software Engineering,meneely2010use,2010,1,1,87,11-100,ITS;VCS,4,Community Structure,General
Open Borders? Immigration in Open Source Projects,Christian Bird;Alex Gourley;Premkumar Devanbu;Anand Swaminathan;Greta Hsu,MSR,bird2007open,2007,3,2-5,"88,168",10001-100000,ML;VCS,165,Developer Roles,Onboarding
Open collaboration in the public sector: The case of social coding on GitHub,Ines Mergel,Government Information Quarterly,mergel2015open,2015,7003,>100,Missing,Missing,Forge,57,Community Structure,General
Open Source Software Developer and Project Networks,Matthew Van Antwerp;Gregory Madey,OSS,van2010open,2010,3,2-5,26433,10001-100000,VCS,2,Community Structure,DSN Evolution
Optimal Group Size for Software Change Tasks: A Social Information Foraging Perspective,Tanmay Bhowmik;Nan Niu;Wentao Wang;Jing-Ru C. Cheng;Ling Li;Xiongfei Cao,IEEE Transactions on Cybernetics,bhowmik2016optimal,2016,2,2-5,1359,1001-10000,ITS,22,Collaboration Behavior,Problems
Organizational volatility and its effects on software defects,Audris Mockus,FSE,mockus2010organizational,2010,1,1,480,101-1000,VCS,101,Community Structure,Impact on Code Quality
"Out of sight but not out of mind?: Informal networks, communication and media use in global software teams",Klarissa T. Chang;Kate Ehrlich,CASCON,chang2007out,2007,3,2-5,35.81666667,11-100,Survey,36,Collaboration Behavior,Global SWE
Path to stardom in globally distributed teams: An examination of a knowledgecentered perspective using social network analysis,Saonee Sarker;Suprateek Sarker;Sarah Kirkeby;Suranjan Chakraborty,Decision Sciences,sarker2011path,2011,16,11-100,91,11-100,Survey,4,Community Structure,Global SWE
Predicting build failures using social network analysis on developer communication,Timo Wolf;Adrian Schröter;Daniela Damian;Thanh H.D. Nguyen,ICSE,wolf2009predicting,2009,1,1,151,101-1000,ITS,217,Prediction,Build Failure
Predicting build outcome with developer interaction in Jazz,Adrian Schröter,ICSE,schroter2010predicting,2010,1,1,Missing,Missing,ITS;VCS,8,Prediction,Build Failure
Predicting failures with developer networks and social network analysis,Andrew Meneely;Laurie Williams;Will Snipes;Jason Osborne,FSE,meneely2008predicting,2008,1,1,161,101-1000,VCS,241,Prediction,Defect Prediction
Predicting project outcome leveraging socio-technical network patterns,Didi Surian;Yuan Tian;David Lo;Hong Cheng;Ee-Peng Lim,CSMR,surian2013predicting,2013,4050,>100,Missing,Missing,Forge,13,Prediction,Project Outcomes
ProxiScientia: toward real-time visualization of task and developer dependencies in collaborating software development teams,Arber Borici;Kelly Blincoe;Adrian Schröter;Giuseppe Valetto;Daniela Damian,CHASE,borici2012proxiscientia,2012,NA,NA,NA,NA,Other,31,Tools,Tools
Putting It All Together: Using Socio-technical Networks to Predict Failures,Christian Bird;Nachiappan Nagappan;Harald Gall;Brendan Murphy;Premkumar Devanbu,ISSRE,bird2009putting,2009,2,2-5,Missing,Missing,VCS,197,Prediction,Defect Prediction
Recommending people in developers’ collaboration network,Didi Surian;Nian Liu;David Lo;Hanghang Tong;Ee-Peng Lim;Christos Faloutsos,WCRE,surian2011recommending,2011,213,>100,376,101-1000,Forge,60,Prediction,Developers for Tasks in General
Removing barriers to trust in distributed teams: understanding cultural differences and strengthening social ties,Suzanne P. Mikawa;Sharon K. Cunnington;Scott A. Gaskins,IWIC,mikawa2009removing,2009,1,1,75,11-100,Survey,18,Collaboration Behavior,Global SWE
Reputation management in an open source developer social network: An empirical study on determinants of positive evaluations,Daning Hu;J. Leon Zhao;Jiesi Cheng,Decision Support Systems,hu2012reputation,2012,"11,530",>100,94330,10001-100000,Other,41,Community Structure,General
REQUIREMENTS ENGINEERING (RE) EFFECTIVENESS IN OPEN SOURCE SOFTWARE: THE ROLE OF SOCIAL NETWORK CONFIGURATIONS AND REQUIREMENTS PROPERTIES,Deepa Gopal Iyer;Kall Lyytinen,ECIS,iyer2019requirements,2019,248,>100,Missing,Missing,Forge,0,Community Structure,General
SCSMiner: mining social coding sites for software developer recommendation with relevance propagation,Yao Wan;Liang Chen;Guandong Xu;Zhou Zhao;Jie Tang;Jian Wu,World Wide Web,wan2018scsminer,2018,458639,>100,16567,10001-100000,Forge,4,Prediction,Developers for Tasks in General
Secure open source collaboration: an empirical study of linus' law,Andrew Meneely;Laurie Williams,CCS,meneely2009secure,2009,1,1,557,101-1000,VCS,117,Community Structure,General
Seeking the source: software source code as a social and technical artifact,Cleidson R. B. de Souza;Jon Froehlich;Paul Dourish,GROUP,de2005seeking,2005,NA,NA,NA,NA,VCS,181,Community Structure,Socio-technical Congruence
Self-organization of teams for free/libre open source software development,Kevin Crowston;Qing Li;Kangning Wei;U. Y. Eseryel;James Howison,Information and Software Technology,crowston2007self,2007,3,2-5,33,11-100,ML;Other,240,Community Structure,Team Formation
Social Activities Rival Patch Submission for Prediction of Developer Initiation in OSS Projects,Mohammad Gharehyazie;Daryl Posnett;Vladimir Filkov,ICSM(E),gharehyazie2013social,2013,6,6-10,997,101-1000,ML;ITS;VCS,18,Developer Roles,Onboarding
"Social Capital, Structural Holes and Team Composition: Collaborative Networks of the Open Source Software Community",Yong Tan;Vijay Mookerjee;Param Singh,ICIS,tan2007social,2007,5191,>100,10973,10001-100000,Forge,43,Community Structure,General
Social Dynamics of FLOSS Team Communication Across Channels,Andrea Wiggins;James Howison;Kevin Crowston,OSS,wiggins2008social,2008,2,2-5,Missing,Missing,ML;ITS;Other,35,Community Structure,General
Social dynamics of free and open source team communications,James Howison;Keisuke Inoue;Kevin Crowston,OSS,howison2006social,2006,120,>100,Missing,Missing,ITS,116,Community Structure,General
Social interactions around cross-system bug fixings: the case of FreeBSD and OpenBSD,Gerardo Canfora;Luigi Cerulo;Marta Cimitile;Massimiliano Di Penta,MSR,canfora2011social,2011,2,2-5,1590,1001-10000,ML;VCS,46,Community Structure,General
Social Network Analysis of Developers' and Users' Mailing Lists of Some Free Open Source Software,Armel J.N. Nzeko'o;Matthieu Latapy;Maurice Tchuente,IEEE International Congress on Big Data,nzeko2015social,2015,4,2-5,3264,1001-10000,ML,2,Community Structure,General
Social Network Analysis on Communications for Knowledge Collaboration in OSS Communities,Takeshi Kakimoto;Yasutaka Kamei;Masao Ohira;Ken-ichi Matsumoto,KCSD,kakimoto2006social,2006,4,2-5,38,11-100,VCS,28,Community Structure,DSN Evolution
Social network of software development at GitHub,William Leibzon,ASONAM,leibzon2016social,2016,3,2-5,8345,1001-10000,Forge,9,Community Structure,General
Social Network Structures in Open Source Software Development Teams,Yuan Long;Keng Siau,Social Network Structures in Open Source Software Development Teams,long2007social,2007,122,>100,"14,922",10001-100000,ITS,95,Community Structure,General
Social networks and coordination performance of distributed software development teams,Liaquat Hossain;David Zhou,The Journal of High Technology Management Research,hossain2009social,2009,45,11-100,Missing,Missing,ITS,31,Community Structure,Global SWE
Socialization in an Open Source Software Community: A Socio-Technical Analysis,Nicolas Ducheneaut,CSCW,ducheneaut2005socialization,2005,1,1,148,101-1000,ML;VCS,459,Developer Roles,Onboarding
Socio-technical Congruence in OSS Projects: Exploring Conway’s Law in FreeBSD,Mahbubul Syeed;Imed Hammouda,OSS,syeed2013socio,2013,1,1,1128,1001-10000,ML;VCS,9,Community Structure,Socio-technical Congruence
Socio-Technical Congruence: A Framework for Assessing the Impact of Technical and Work Dependencies on Software Development Productivity,Marcelo Cataldo;James D. Herbsleb;Kathleen M. Carley,ESEM,cataldo2008socio,2008,1,1,114,101-1000,ITS,300,Community Structure,Socio-technical Congruence
Socio-Technical Developer Networks: Should We Trust Our Measurements?,Andrew Meneely;Laurie Williams,ICSE,meneely2011socio,2011,3,2-5,110,101-1000,VCS,62,DSN Validity,DSN Validity
StakeNet: using social networks to analyse the stakeholders of large-scale software projects,Soo Ling Lim;Daniele Quercia;Anthony Finkelstein,ICSE,lim2010stakenet,2010,1,1,4463,1001-10000,Survey,139,Developer Roles,Identification
StakeRare: using social networks and collaborative filtering for large-scale requirements elicitation,Soo Ling Lim;Anthony Finkelstein,TSE,lim2012stakerare,2011,1,1,127,101-1000,Survey,174,Developer Roles,Identification
Stochastic actor-oriented modeling for studying homophily and social influence in OSS projects,David Kavaler;Vladimir Filkov,EMSE,kavaler2017stochastic,2017,2,2-5,78,11-100,ML,5,Community Structure,DSN Evolution
"Structures that work: social structure, work structure and coordination ease in geographically distributed teams",Pamela Hinds;Cathleen McGrath,CSCW,hinds2006structures,2006,33,11-100,Missing,Missing,Survey,209,Community Structure,Global SWE
Studying team evolution during software testing,Vibhu S. Sharma;Vikrant Kaulgud,CHASE,sharma2011studying,2011,1,1,Missing,Missing,ITS,8,Community Structure,DSN Evolution
Studying the impact of social interactions on software quality,Nicolas Bettenburg;Ahmed E. Hassan,EMSE,bettenburg2013studying,2012,2,2-5,Missing,Missing,ITS;VCS,44,Community Structure,Impact on Code Quality
Studying the Impact of Social Structures on Software Quality,Nicolas Bettenburg;Ahmed E. Hassan,ICPC,bettenburg2010studying,2010,1,1,Missing,Missing,ITS,83,Community Structure,Impact on Code Quality
Supporting collaborative software development through the visualization of socio-technical dependencies,Cleidson R. B. de Souza;Stephen Quirk;Erik Trainer;David F. Redmiles,GROUP,de2007supporting,2007,2,2-5,Missing,Missing,Other,153,Tools,Tools
Supporting knowledge collaboration using social networks in a large-scale online community of software development projects,Masao Ohira;Tetsuya Ohoka;Takeshi Kakimoto;Naoki Ohsugi;Ken-ichi Matsumoto,APSEC,ohira2005supporting,2005,NA,NA,NA,NA,Forge,17,Tools,Tools
SVNNAT: Measuring Collaboration in Software Development Networks,Michael Schwind;Christian Wegmann,CECandEEE,schwind2008svnnat,2008,4,2-5,310,101-1000,VCS,11,Tools,Tools
Task Recommendation with Developer Social Network in Software Crowdsourcing,Ning Li;Wenkai Mo;Beijun Shen,APSEC,li2016task,2016,1,1,4969,1001-10000,Forge,7,Prediction,Developers for Tasks in General
Tesseract: Interactive visual exploration of socio-technical relationships in software development,Anita Sarma;Larry Maccherone;Patrick A. Wagstrom;James D. Herbsleb,ICSE,sarma2009tesseract,2009,1,1,about 26000,10001-100000,ML;ITS;VCS,181,Tools,Tools
The Effects of Communication Patterns on the Success of Open Source Software Projects: An Empirical Analysis from Social Network Perspectives,Jing Wu;Khm-Yong Goh;He Li;Chuan Luo;Haichao Zheng,Journal of Global Information Management,wu2016effects,2016,126,>100,Missing,Missing,Forge,5,Collaboration Behavior,General
The Impact of Communication Structure on New Product Development Outcomes,Marcelo Cataldo;Kate Ehrlich,CHI,cataldo2012impact,2012,1,1,14,11-100,ITS,38,Prediction,Project Outcomes
The Importance of Social Network Structure in the Open Source Software Developer Community,Matthew Van Antwerp;Gregory Madey,HICSS,van2010importance,2010,Missing,Missing,73828,10001-100000,Forge,32,Community Structure,General
The Meso-level Structure of F/OSS Collaboration Network: Local Communities and Their Innovativeness,Guido Conaldi;Francesco Rullani,OSS,conaldi2010meso,2010,"115,112",>100,161983,>100000,Forge,2,Community Structure,General
The Open Source Software Community Structure,Jin Xu;Scott Christley;Gregory Madey,NAACSOS ,xu2005open,2005,"27,834",>100,Missing,Missing,Forge,14,Community Structure,General
The Open Source Software Development Phenomenon: An Analysis Based on Social Network Theory,Gregory Madey;Vincent Freeh;Renee Tynan,AMCIS,madey2002open,2002,> 39000,>100,> 33000,10001-100000,Forge,342,Community Structure,General
The role of communication and trust in global virtual teams: A social network perspective,Saonee Sarker;Manju K. Ahuja;Suprateek Sarker;Sarah Kirkeby,Journal of Management Information Sciences,sarker2011role,2011,2,2-5,55.5,11-100,Survey,313,Collaboration Behavior,Global SWE
The role of domain knowledge and cross-functional communication in sociotechnical coordination,Daniela Damian;Remko Helms;Irwin Kwan;Sabrina Marczak;Benjamin Koelewijn,ICSE,damian2013role,2013,2,2-5,19.5,11-100,Survey;Other,30,Collaboration Behavior,General
The small-world effect: The influence of macro-level properties of developer collaboration networks on open-source project success,Param Singh,TOSEM,singh2010small,2010,2013,>100,8512,1001-10000,Forge,111,Community Structure,General
The social structure of free and open source software development,Kevin Crowston;James Howison,First Monday,crowston2005social,2005,12,11-100,Missing,Missing,ITS,602,Community Structure,General
Toward visualization and analysis of traceability relationships in distributed and offshore software development projects,Cleidson R. B. de Souza;Tobias Hildenbrand;David F. Redmiles,SEAFOOD,de2007toward,2007,35,11-100,17+34,11-100,Forge;Survey,40,Community Structure,Global SWE
Towards understanding: a study of the SourceForge.net community using modeling and simulation,Yongqin Gao;Gregory Madey,SpringSim,gao2007towards,2007,NA,NA,NA,NA,Forge,18,Community Structure,General
Tracing distributed collaborative development in apache software foundation projects,Mohammad Gharehyazie;Vladimir Filkov,EMSE,gharehyazie2017tracing,2017,26,11-100,23,11-100,ML;VCS,3,Collaboration Behavior,General
Understanding a developer social network and its evolution,Qiaona Hong;Sunghun Kim;S.C. Cheung;Christian Bird,ICSM(E),hong2011understanding,2011,1,1,106000,>100000,ITS,93,Community Structure,DSN Evolution
"Understanding the attitudes, knowledge sharing behaviors and task performance of core developers: A longitudinal study",Sherlock A. Licorish;Stephen G. MacDonell,Information and Software Technology,licorish2014understanding,2014,1,1,394,101-1000,ITS,48,Developer Roles,Identification
Understanding the nature of collaboration in open-source software development,Kumiyo Nakakoji;Kazuaki Yamada;Elisa Giaccardi,APSEC,nakakoji2005understanding,2005,1,1,1104,1001-10000,ML,23,Community Structure,DSN Evolution
Unveiling Collaboration Structures in Software Development Projects,Michael Schwind;Christian Wegmann;Oliver Wendt,ECIS,schwind2008unveiling,2008,2,2-5,74,11-100,VCS,2,Community Structure,General
User influence analysis for Github developer social networks,Yan Hu;Shanshan Wang;Yizhi Ren;Kim-Kwang Raymond Choo,Expert Systems with Applications,hu2018user,2018,20798840,>100,2321156,>100000,Forge,13,Prediction,Developers for Tasks in General
Using citation influence to predict software defects                    ,Wei Hu;Kenny Wong,MSR,hu2013using,2013,2,2-5,Missing,Missing,Other,17,Prediction,Defect Prediction
Using Developer Activity Data to Enhance Awareness during Collaborative Software Development,Inah Omoronyia;John Ferguson;Marc Roper;Murray Wood,CSCW,omoronyia2009using,2009,1,1,10,1-10,Other,35,Collaboration Behavior,General
Using social network analysis for mining collaboration data in a defect tracking system for risk and vulnerability analysis,Ashish Sureka;Atul Goyal;Ayushi Rastogi,ISEC,sureka2011using,2011,1,1,556,1001-10000,ITS,36,Community Structure,General
Using Software Repositories to Investigate Socio-technical Congruence in Development Projects,Giuseppe Valetto;Mary Helander;Kate Ehrlich;Sunita Chulani;Mark Wegman;Clay Williams,MSR,valetto2007using,2007,NA,NA,NA,NA,VCS,96,Community Structure,Socio-technical Congruence
Validity of network analyses in Open Source Projects,Roozbeh Nia;Christian Bird;Premkumar Devanbu;Vladimir Filkov,MSR,nia2010validity,2010,3,2-5,"1,596",1001-10000,ML,37,DSN Validity,DSN Validity
Visualization of communication patterns in collaborative innovation networks-analysis of some W3C working groups,Peter A. Gloor;Rob Laubacher;Scott B. C. Dynes;Yan Zhao ,CIKM,gloor2003visualization,2003,3,2-5,150-200,101-1000,ML,163,Community Structure,General
Visualizing social interaction in open source software projects,Michael Ogawa;Kwan-liu Ma;Christian Bird;Premkumar Devanbu;Alex Gourley,APVIS,ogawa2007visualizing,2007,2,2-5,2652,1001-10000,ML;VCS,35,Tools,Tools
What dynamic network metrics can tell us about developer roles,Mathias Pohl;Stephan Diehl,CHASE,pohl2008dynamic,2008,1,1,4,1-10,VCS,24,Developer Roles,Identification
Who Can Help to Review This Piece of Code?,Noureddine Kerzazi;Ikram El Asri,PRO-VE,kerzazi2016can,2016,5,2-5,1445,1001-10000,Forge,3,Prediction,Developers for  Code Review
Software Process Simulation based on Mining Software Repositories,Verena Honsel;Daniel Honsel;Jens Grabowski,ICDMW,honsel2014software,2014,1,1,2298,1001-10000,ITS;VCS,13,Community Structure,Simulation
Investigating Cross-Repository Socially Connected Teams on GitHub,Duo Wang;Jian Cao;Shiyou Qian;Qing Qi,APSEC,wang2019investigating,2019,181232,>100,182743,>100000,Forge,0,Community Structure,General
git2net - Mining Time-Stamped Co-Editing Networks from Large git Repositories,Christoph Gote;Ingo Scholtes;Frank Schweitzer,MSR,gote2019git,2019,NA,NA,NA,NA,VCS,1,Tools,Tools
Measuring and analyzing code authorship in 1 + 118 open source projects,Guilherme Avelino;Leonardo Passos;Andre Hora;Marco T. Valente,Science of Computer Programming,avelino2019measuring,2019,119,>100,4076,1001-10000,VCS,2,Community Structure,General
A network-centric approach for estimating trust between open source software developers,Hitesh Sapkota;Pradeep K. Murukannaiah;Yi Wang,PLOS ONE,Sapkota2020,2020,179,>100,24315,10001-100000,Forge,0,Collaboration Behavior,Problems
Studying multifaceted collaboration of OSS developers and its impact on their bug fixing performance,Amit Kumar;Mahen Gandhi;Yugandhar Desai;Sonali Argarwal,QuASoQ,kumar2019studying,2019,2,2-5,NA,1001-10000,ITS,0,Community Structure,DSN Evolution
Network semantic segmentation with application to GitHub,Neda Hajiakhoond Bidoki;Gita Sukthankar,CSCI,bidoki2018network,2018,1000,>100,8437,1001-10000,Forge,1,Community Structure,General
"Influence Indexing of Developers, Repositories, Technologies and Programming Languages on Social Coding Community GitHub",Riyu Bana;Anuja Arora,IC3,bana2018influence,2018,Missing,Missing,Missing,Missing,Forge,3,Community Structure,General
Surgical teams on GitHub: Modeling performance of GitHub project development processes,Oskar Jarczyk;Szymon Jaroszewicz;Adam Wierzbicki;Kamil Pawlak;Michal Jankowski-Lorek,Information and Software Technology,jarczyk2018surgical,2018,9447,>100,21,11-100,Forge,10,Prediction,Project Outcomes
Large-scale analysis of the co-commit patterns of the active developers in github's top repositories,Eldan Cohen;Mariano P. Consens,MSR,cohen2018large,2018,16827,>100,15702,10001-100000,Forge,4,Collaboration Behavior,General
Enhancing developer recommendation with supplementary information via mining historical commits,Xiaobing Sun;Hui Yang:Xin Xia;Bin Li,JSS,sun2017enhancing,2017,5,2-5,254,101-1000,VCS,14,Prediction,Bug Triage
Collaboration strength metrics and analyses on GitHub,Natercia A. Batista;Michele A. Brandao;Gabriela B. Alves;Ana P. C. da Silva;Mirella M. Moro,WI,batista2017collaboration,2017,149618,>100,70030,10001-100000,Forge,9,Community Structure,General
Assessing code authorship: The case of the linux kernel,Guilherme Avelino;Leonardo Passos;Andre Hora;Marco T. Valente,OSS,guilherme2017assessing,2017,7,6-10,988,101-1000,VCS,4,Community Structure,General
Influence analysis of Github repositories,Yan Hu;Jun Zhang;Xiaomei Bai;Shuo Yu;Zhuo Yang,SpringerPlus,hu2016influence,2016,Missing,Missing,Missing,Missing,Forge,21,Community Structure,General
Mining software dependency networks for agent-based simulation of software evolution,Verena Honsel;Daniel Honsel;Steffen Herbold;Jens Grabowski;Stephan Waack,SoftMine,honsel2015mining,2015,2,2-5,73,11-100,ITS;VCS,16,Community Structure,Simulation
The diffusion of trust and cooperation in teams with individuals' variations on baseline trust,Yi Wang;David Redmiles,CSCW,wang2016diffusion,2016,2,2-5,Missing,Missing,ML;ITS;VCS;Other,10,Collaboration Behavior,Problems
The role of developers' social relationships in improving service selection,Devis Bianchini;Valeria De Antonellis;Michele Melchiori,International Journal of Web Information Systems,bianchini2016role,2016,400,>100,400,101-1000,Other,2,Prediction,Suitable Webservices
A social network-based framework for data services selection in modern web application design,Devis Bianchini;Valeria De Antonellis;Michele Melchiori,CAISE,bianchini2016social,2016,Missing,Missing,Missing,Missing,Other,0,Prediction,Suitable Webservices
